group,Lung_CFU_D180,Spleen_CFU_D18,Lung_CFU_D220,Spleen_CFU_D220
H37Rv1,6.431363764,6.06069784,6.269512944,6.041392685
H37Rv2,6.255272505,5.949390007,6.383815366,5.86923172
H37Rv3,6.401400541,5.77815125,7.152288344,6.120573931
H37Rv4,6.426511261,5.857332496,7.245512668,6.086359831
H37Rv5,7.532754379,6.748188027,NA,NA
H37RV+INH/Rif1,4.303196057,5.190331698,6.421603927,5.982271233
H37RV+INH/Rif2,4.155336037,5.225309282,5.77815125,5.944482672
H37RV+INH/Rif3,4.42975228,5.698970004,6.079181246,5.748188027
H37RV+INH/Rif4,4.204119983,5.418301291,5.301029996,4.903089987
H37RV+INH/Rif5,4.041392685,5.305351369,5.903089987,5.832508913
H37RV+INH/Rif6,NA,NA,6.017033339,5.763427994
H37Rv+CLE1,6.785329835,5.530199698,6.1430148,5.908485019
H37Rv+CLE2,6.222716471,5.880813592,6.017033339,5.531478917
H37Rv+CLE3,7,5.995635195,6.120573931,5.851258349
H37Rv+CLE4,7.155336037,5.748188027,6.568201724,5.342422681
H37Rv+CLE5,5.897627091,5.447158031,7.209515015,6.045322979
H37Rv+CLE6,NA,NA,5.591064607,5.826074803
H37Rv+INH/Rif+CLE1,4.929418926,5.86923172,5.643452676,5.995635195
H37Rv+INH/Rif+CLE2,5.763427994,6.068185862,6.198657087,5.633468456
H37Rv+INH/Rif+CLE3,5.086359831,5.546542663,6.056904851,5.62324929
H37Rv+INH/Rif+CLE4,4.591064607,5.447158031,5.806179974,5.819543936
H37Rv+INH/Rif+CLE5,5.103803721,5.550228353,NA,NA
H37Rv+CL1,8.155336037,6.10720997,6.812913357,6.209515015
H37Rv+CL2,6.176091259,6.008600172,6.214843848,5.806179974
H37Rv+CL3,6.1430148,5.542825427,6.056904851,5.934498451
H37Rv+CL4,6.672097858,5.963787827,6.133538908,6.08278537
H37Rv+CL5,6.903089987,6.178976947,NA,NA
H37Rv+INH/Rif+CL1,4.176091259,5.049218023,5.939519253,5.447158031
H37Rv+INH/Rif+CL2,5.305351369,5.033423755,5.025305865,4.875061263
H37Rv+INH/Rif+CL3,5.056904851,5.193124598,5.763427994,5.698970004
H37Rv+INH/Rif+CL4,6,5.434568904,5.86332286,5.227886705
H37Rv+INH/Rif+CL5,6.146128036,5.86923172,5.531478917,4.86332286
H37Rv+BCG1,5.792391689,5.558708571,6.075546961,5.62324929
H37Rv+BCG2,6.385606274,5.672097858,6.826074803,5.838849091
H37Rv+BCG3,6.367355921,5.602059991,6.748188027,5.934498451
H37Rv+BCG4,6.562292864,5.612783857,6.880813592,6.309630167
H37Rv+BCG5,6.404833717,6.08278537,6.117271296,6.075546961
H37Rv+INH/Rif+BCG1,5.06069784,4.770852012,5.924279286,5.69019608
H37Rv+INH/Rif+BCG2,5.432969291,5.568201724,5.69019608,5.447158031
H37Rv+INH/Rif+BCG3,5.426511261,5.575187845,5.748188027,5.86332286
H37Rv+INH/Rif+BCG4,5.037426498,4.875061263,5.447158031,5.079181246
H37Rv+INH/Rif+BCG5,5.230448921,5.45331834,5.707570176,5.255272505